epoch,accuracy,dice_coeff,jaccard_index,loss,rand_index,specificity,val_accuracy,val_dice_coeff,val_jaccard_index,val_loss,val_rand_index,val_specificity
0,0.6702210307121277,0.035135287791490555,0.5139448046684265,48.396297454833984,0.002589219016954303,0.5137577056884766,0.9825199246406555,0.0730733722448349,0.4955264925956726,46.188926696777344,0.0021255312021821737,0.4956887364387512
1,0.988946795463562,0.14802686870098114,0.6303687691688538,42.506134033203125,0.0026867014821618795,0.6306886076927185,0.9827440977096558,0.13477395474910736,0.5414890050888062,42.78382110595703,0.00279539474286139,0.5415805578231812
2,0.9962198138237,0.16296827793121338,0.7027942538261414,41.70554733276367,0.0026601783465594053,0.7034721970558167,0.9950489401817322,0.13561227917671204,0.595964252948761,42.67302322387695,0.002519158646464348,0.5964555144309998
3,0.9974657297134399,0.1833716332912445,0.7407081127166748,40.65240478515625,0.0030850099865347147,0.7414594292640686,0.9968182444572449,0.0757083147764206,0.645597517490387,45.95091247558594,0.002666303189471364,0.6462940573692322
4,0.9977900981903076,0.24974125623703003,0.7698822021484375,37.25784683227539,0.003747869050130248,0.7706363201141357,0.9976636171340942,0.23576417565345764,0.6881204843521118,37.225738525390625,0.0033606234937906265,0.6888514757156372
5,0.9981033205986023,0.3486456871032715,0.7817227244377136,32.200496673583984,0.00436645420268178,0.782416820526123,0.9974774718284607,0.30494222044944763,0.7121418714523315,33.4595947265625,0.00392925227060914,0.7128667831420898
6,0.9983354210853577,0.45440873503685,0.7889490127563477,26.808006286621094,0.004826817661523819,0.7895948886871338,0.9976279735565186,0.04673127457499504,0.7254843711853027,47.47148895263672,0.0028625892009586096,0.7265601754188538
7,0.9986456632614136,0.5687342286109924,0.7967261672019958,20.993682861328125,0.005334526300430298,0.7973288893699646,0.9980533719062805,0.28711917996406555,0.7369627356529236,34.44320297241211,0.004300366155803204,0.737788736820221
8,0.9988053441047668,0.6231943964958191,0.8031175136566162,18.223031997680664,0.005769018083810806,0.8036850094795227,0.9982226490974426,0.3264812231063843,0.7496825456619263,32.20490264892578,0.0046847122721374035,0.7505158185958862
9,0.998432993888855,0.5116373896598816,0.8033871650695801,23.946979522705078,0.005389199126511812,0.8040330410003662,0.9974250197410583,0.13792364299297333,0.755119264125824,42.4881591796875,0.00304100732319057,0.756316065788269
10,0.9987298250198364,0.602854311466217,0.8113405704498291,19.28409767150879,0.005971502047032118,0.8119375109672546,0.997948408126831,0.2723570466041565,0.7600007653236389,35.137168884277344,0.004818922374397516,0.760890007019043
11,0.9989568591117859,0.6692244410514832,0.8172933459281921,15.894608497619629,0.006473621819168329,0.817851722240448,0.9984247088432312,0.4268883764743805,0.766999363899231,26.718820571899414,0.005651307292282581,0.7677932977676392
12,0.9990378022193909,0.7001847624778748,0.8229361176490784,14.326620101928711,0.006842406000941992,0.8234809637069702,0.9986895322799683,0.524418294429779,0.7721132040023804,21.428503036499023,0.006471458822488785,0.772797703742981
13,0.9990805983543396,0.7123634219169617,0.827838122844696,13.700019836425781,0.007144908420741558,0.8283770680427551,0.9988163709640503,0.5511611700057983,0.7775924801826477,19.97949981689453,0.0066918195225298405,0.7782875895500183
14,0.9991759657859802,0.7419993877410889,0.831908106803894,12.220132827758789,0.007508344482630491,0.8324261903762817,0.9988086819648743,0.5300279855728149,0.7828429937362671,21.101667404174805,0.006662371568381786,0.7835948467254639
15,0.9992120862007141,0.7549294233322144,0.8360149264335632,11.575638771057129,0.007819726131856441,0.8365246057510376,0.9989904165267944,0.5997450351715088,0.7873662710189819,17.31650733947754,0.007388751953840256,0.7880309820175171
16,0.9992532134056091,0.7687181830406189,0.839614748954773,10.893345832824707,0.008124513551592827,0.8401148319244385,0.9989966750144958,0.6084434986114502,0.7912209630012512,16.93822479248047,0.007589741609990597,0.7918951511383057
17,0.999286949634552,0.7793004512786865,0.8430027961730957,10.367305755615234,0.00842000637203455,0.8434938192367554,0.9991554617881775,0.6501731872558594,0.7950429916381836,14.65372371673584,0.008298294618725777,0.7956382036209106
18,0.9993295073509216,0.7900049686431885,0.8464375734329224,9.819409370422363,0.008755284361541271,0.8469172120094299,0.9991250038146973,0.6453125476837158,0.7984663844108582,14.866996765136719,0.00842548068612814,0.7990800738334656
19,0.9993605017662048,0.7991349101066589,0.8497123718261719,9.357747077941895,0.009073439054191113,0.8501819968223572,0.9988798499107361,0.5251621603965759,0.8024614453315735,21.230031967163086,0.007610329892486334,0.8032478094100952
20,0.9993856549263,0.807854950428009,0.8527452349662781,8.93465518951416,0.009385878220200539,0.8532061576843262,0.9991618394851685,0.6380407214164734,0.8058280944824219,15.1539306640625,0.008858228102326393,0.806462287902832
21,0.9994000196456909,0.8118102550506592,0.8557661771774292,8.753568649291992,0.009671887382864952,0.8562222719192505,0.9990495443344116,0.6049723625183105,0.8089843988418579,16.897912979125977,0.008576192893087864,0.8096984624862671
22,0.9994216561317444,0.8183714151382446,0.8584914803504944,8.407047271728516,0.009988675825297832,0.8589389324188232,0.9991953372955322,0.6601142883300781,0.8118740916252136,13.937731742858887,0.009467137977480888,0.8124951124191284
23,0.9994400143623352,0.8245264291763306,0.8613235354423523,8.108652114868164,0.010299297980964184,0.8617646098136902,0.9992852210998535,0.7209377288818359,0.8151780962944031,11.050679206848145,0.010145088657736778,0.8157404065132141
24,0.9994149804115295,0.817166805267334,0.8633989095687866,8.425207138061523,0.010468296706676483,0.8638452291488647,0.9929718375205994,0.2478352040052414,0.8123477697372437,36.499656677246094,0.008816426619887352,0.8130639791488647
