epoch,accuracy,dice_coeff,jaccard_index,loss,rand_index,specificity,val_accuracy,val_dice_coeff,val_jaccard_index,val_loss,val_rand_index,val_specificity
0,0.8601337671279907,0.050210751593112946,0.5749876499176025,47.55984878540039,0.0027226556558161974,0.5750529766082764,0.9657312631607056,0.02421579509973526,0.49452584981918335,48.83959197998047,0.0021496398840099573,0.4946727752685547
1,0.99375319480896,0.2104504555463791,0.6925840377807617,39.29006576538086,0.0030431312043219805,0.6931003928184509,0.9666826725006104,0.05797242373228073,0.5421518087387085,46.97367858886719,0.0026046799030154943,0.5423263311386108
2,0.9971636533737183,0.2645735740661621,0.7500280737876892,36.50894546508789,0.0034780525602400303,0.7507328391075134,0.9882407784461975,0.1478666365146637,0.5782779455184937,42.05186080932617,0.002678335178643465,0.5786114931106567
3,0.9979058504104614,0.3372575640678406,0.7833701372146606,32.80245590209961,0.00427155802026391,0.784098744392395,0.9914602041244507,0.29084569215774536,0.6596836447715759,34.28947448730469,0.0042706443928182125,0.6599684953689575
4,0.998198926448822,0.431551069021225,0.8021787405014038,28.000560760498047,0.005002877209335566,0.802885115146637,0.9973702430725098,0.24175810813903809,0.7214716672897339,36.89849853515625,0.0039183879271149635,0.7222408056259155
5,0.9984024167060852,0.49143922328948975,0.8141395449638367,24.936264038085938,0.005576395895332098,0.8148291707038879,0.9978213310241699,0.36203083395957947,0.7604269981384277,30.32624626159668,0.005323057994246483,0.761177659034729
6,0.9986510872840881,0.5757381319999695,0.8219722509384155,20.657136917114258,0.0061203483492136,0.8226310610771179,0.9985558390617371,0.5323449373245239,0.7719380259513855,21.234146118164062,0.006375829689204693,0.7725886106491089
7,0.9987884163856506,0.6302452087402344,0.8283336758613586,17.885114669799805,0.006567599717527628,0.8289726972579956,0.9985118508338928,0.46370601654052734,0.7915198802947998,24.944461822509766,0.006213176529854536,0.7923488616943359
8,0.9990107417106628,0.6942424178123474,0.8345710635185242,14.642985343933105,0.0071553257293999195,0.8351717591285706,0.9988808631896973,0.5537182092666626,0.8042932748794556,20.09139633178711,0.007309410721063614,0.8050783276557922
9,0.9982908964157104,0.49147024750709534,0.8283565044403076,24.955106735229492,0.0060155149549245834,0.8290826678276062,0.9976682066917419,0.12635114789009094,0.795893132686615,43.363468170166016,0.003569097723811865,0.7972027659416199
10,0.9986156821250916,0.5726626515388489,0.8399190306663513,20.841026306152344,0.006783485412597656,0.8406257629394531,0.9983909130096436,0.41473549604415894,0.8085819482803345,27.634870529174805,0.006226623430848122,0.8095601201057434
11,0.9989194273948669,0.6709527373313904,0.8460851907730103,15.830503463745117,0.007594303227961063,0.8467300534248352,0.998599648475647,0.46013331413269043,0.8168970942497253,25.07636833190918,0.006933161523193121,0.8178437352180481
12,0.9991067051887512,0.724523663520813,0.8499905467033386,13.106096267700195,0.008193585090339184,0.8505880236625671,0.998672604560852,0.47577720880508423,0.8215295672416687,24.156023025512695,0.007365133613348007,0.8224608302116394
13,0.9991580247879028,0.7416427731513977,0.8526724576950073,12.241752624511719,0.008519178256392479,0.8532518148422241,0.9987858533859253,0.5337159633636475,0.824955940246582,21.10593605041504,0.00814030785113573,0.8258243799209595
14,0.9993069767951965,0.7811457514762878,0.8554954528808594,10.222699165344238,0.009030667133629322,0.8560364246368408,0.99822598695755,0.31240740418434143,0.8269198536872864,32.94538116455078,0.006302868481725454,0.8280501365661621
15,0.999397873878479,0.8076736927032471,0.8578870892524719,8.8897123336792,0.009428667835891247,0.8584017753601074,0.9982882142066956,0.3423846364021301,0.8291347622871399,31.34065055847168,0.0064506507478654385,0.8302626609802246
16,0.9994377493858337,0.8204272389411926,0.8596351146697998,8.259293556213379,0.009731494821608067,0.8601298928260803,0.998630702495575,0.4612920880317688,0.8310882449150085,24.956035614013672,0.007608991116285324,0.8320805430412292
17,0.9994689226150513,0.8307344913482666,0.8612977862358093,7.744870185852051,0.010008163750171661,0.8617766499519348,0.9987987279891968,0.5166739225387573,0.8329790234565735,21.95576286315918,0.008454869501292706,0.8338861465454102
18,0.9994924068450928,0.8374673128128052,0.8628512024879456,7.4332146644592285,0.010257737711071968,0.8633163571357727,0.998669445514679,0.47876644134521484,0.8348544836044312,23.94364356994629,0.00808379240334034,0.8358289003372192
