epoch,accuracy,dice_coeff,jaccard_index,loss,rand_index,specificity,val_accuracy,val_dice_coeff,val_jaccard_index,val_loss,val_rand_index,val_specificity
0,0.8215004205703735,0.042422160506248474,0.8103532195091248,49.74715042114258,0.02220531366765499,0.809995174407959,0.543705403804779,0.010301271453499794,0.490813672542572,49.9483528137207,0.005197823978960514,0.4900541603565216
1,0.9801946878433228,0.20358183979988098,0.9658035039901733,49.38638687133789,0.12076859176158905,0.9657681584358215,0.7065855264663696,0.06093331053853035,0.6380863785743713,49.91862487792969,0.03281189128756523,0.6381247639656067
2,0.9914847016334534,0.3281807005405426,0.9768978357315063,49.10063552856445,0.20872844755649567,0.976891040802002,0.9012458920478821,0.14318285882472992,0.8307594656944275,49.73225784301758,0.08958840370178223,0.8315308690071106
3,0.9935353398323059,0.3780362010002136,0.9789173007011414,48.90591049194336,0.24877901375293732,0.978918194770813,0.9626849889755249,0.2042258083820343,0.8919782042503357,49.35675811767578,0.12553821504116058,0.8919858336448669
4,0.9948962330818176,0.42424455285072327,0.9802595973014832,48.74595260620117,0.28594326972961426,0.9802613854408264,0.9968844652175903,0.46687960624694824,0.9257270693778992,49.085853576660156,0.3196291923522949,0.9259639978408813
5,0.9954763054847717,0.4499168395996094,0.9808300137519836,48.599578857421875,0.3081870675086975,0.9808303713798523,0.9952011704444885,0.39916324615478516,0.9241346716880798,48.898582458496094,0.26212751865386963,0.9241293668746948
6,0.996113121509552,0.48128655552864075,0.9814585447311401,48.43680191040039,0.334816575050354,0.9814584255218506,0.9963390231132507,0.4596671760082245,0.9252031445503235,48.16545867919922,0.31293919682502747,0.9252063632011414
7,0.9962468147277832,0.4925874173641205,0.981576144695282,48.253562927246094,0.3459451198577881,0.9815779328346252,0.9797410368919373,0.16243748366832733,0.9096354246139526,48.608116149902344,0.09230852872133255,0.9095998406410217
8,0.9960547685623169,0.47952842712402344,0.9814061522483826,48.04497146606445,0.3343597948551178,0.9814075231552124,0.9969229102134705,0.4932231605052948,0.9257281422615051,47.5699348449707,0.3481435179710388,0.9257336854934692
9,0.9968713521957397,0.5278576612472534,0.9822034239768982,47.77088928222656,0.37856772541999817,0.9822046756744385,0.9976654052734375,0.558892548084259,0.926432192325592,47.66196823120117,0.4088127613067627,0.9264487624168396
10,0.9973019361495972,0.5607638359069824,0.9826311469078064,47.444820404052734,0.4101431369781494,0.9826347231864929,0.9981045126914978,0.5804294347763062,0.9268348813056946,46.89901351928711,0.43048352003097534,0.9269910454750061
11,0.9974883794784546,0.5761920809745789,0.9828183650970459,47.07680130004883,0.424121618270874,0.9828243255615234,0.9976192712783813,0.552294135093689,0.9263790845870972,46.707427978515625,0.40341895818710327,0.9263916611671448
12,0.9978622794151306,0.6090351343154907,0.9831815361976624,46.61933517456055,0.45762279629707336,0.9831874966621399,0.9987199902534485,0.6466490626335144,0.9273961782455444,45.79019546508789,0.5047128200531006,0.927563488483429
13,0.9982612133026123,0.6508946418762207,0.9835759401321411,46.05216598510742,0.5017428398132324,0.9835813045501709,0.9983904361724854,0.6319783329963684,0.9270929098129272,46.027347564697266,0.4885731041431427,0.9271133542060852
